market,fit_date,lambda,jumps,objective,shifts_per_year
jp,1982-07-01,45.0,6,2075.355303352946,0.504
jp,1982-07-01,75.0,4,2236.535385957587,0.33599999999999997
jp,1983-01-04,0.55,69,1317.2635797284254,5.796
jp,1983-01-04,2.829145724599095,43,1434.770353871561,3.612
jp,1983-01-04,8.59842836500576,23,1611.9129324732214,1.932
jp,1983-01-04,17.5,13,1752.4367902303738,1.0919999999999999
jp,1983-01-04,45.0,6,1996.072580374838,0.504
jp,1983-01-04,75.0,4,2150.327543369568,0.33599999999999997
jp,1983-07-01,0.55,70,1308.694692171273,5.88
jp,1983-07-01,2.829145724599095,42,1420.9422837721888,3.528
jp,1983-07-01,8.59842836500576,22,1586.3123668036346,1.8479999999999999
jp,1983-07-01,17.5,12,1718.5280790107383,1.008
jp,1983-07-01,45.0,6,1958.0333046594637,0.504
jp,1983-07-01,75.0,4,2113.9193550786213,0.33599999999999997
jp,1984-01-04,0.55,69,1185.6194424338387,5.796
jp,1984-01-04,2.829145724599095,39,1303.027149151446,3.276
jp,1984-01-04,8.59842836500576,21,1479.547266599561,1.764
jp,1984-01-04,17.5,10,1593.0326382659557,0.84
jp,1984-01-04,45.0,4,1765.0973791392344,0.33599999999999997
jp,1984-01-04,75.0,4,1885.097379139234,0.33599999999999997
jp,1984-07-02,0.55,71,1240.9405952853524,5.9639999999999995
jp,1984-07-02,2.829145724599095,43,1356.783597875403,3.612
jp,1984-07-02,8.59842836500576,21,1529.58390690254,1.764
jp,1984-07-02,17.5,11,1649.9749695062117,0.9239999999999999
jp,1984-07-02,45.0,5,1837.521356339332,0.42
jp,1984-07-02,75.0,4,1981.907735566278,0.33599999999999997
jp,1985-01-02,0.55,58,1060.7298248880138,4.872
jp,1985-01-02,2.829145724599095,38,1166.40119151849,3.1919999999999997
jp,1985-01-02,8.59842836500576,20,1319.5426359914286,1.68
jp,1985-01-02,17.5,12,1444.4209776165899,1.008
jp,1985-01-02,45.0,4,1672.10331271276,0.33599999999999997
jp,1985-01-02,75.0,4,1792.103312712759,0.33599999999999997
jp,1985-07-01,0.55,73,1027.6287069678365,6.132
jp,1985-07-01,2.829145724599095,41,1138.4803089250822,3.444
jp,1985-07-01,8.59842836500576,19,1292.8370726035273,1.5959999999999999
jp,1985-07-01,17.5,11,1408.0725195595885,0.9239999999999999
jp,1985-07-01,45.0,3,1610.9603854243107,0.252
jp,1985-07-01,75.0,3,1700.9603854243098,0.252
jp,1986-01-06,0.55,75,1027.798331236745,6.3
jp,1986-01-06,2.829145724599095,41,1147.3886056137655,3.444
jp,1986-01-06,8.59842836500576,21,1311.7285438694103,1.764
jp,1986-01-06,17.5,11,1430.2390352578557,0.9239999999999999
jp,1986-01-06,45.0,3,1620.896422092059,0.252
jp,1986-01-06,75.0,3,1710.8964220920582,0.252
jp,1986-07-01,0.55,67,1296.1258052133564,5.628
jp,1986-07-01,2.829145724599095,33,1404.6425988709532,2.772
jp,1986-07-01,8.59842836500576,21,1547.9516104716777,1.764
jp,1986-07-01,17.5,7,1676.301095046751,0.588
jp,1986-07-01,45.0,7,1868.8010950467499,0.588
jp,1986-07-01,75.0,1,2002.4678535037347,0.08399999999999999
jp,1987-01-05,0.55,63,1384.3780190764412,5.292
jp,1987-01-05,2.829145724599095,30,1481.237916667005,2.52
jp,1987-01-05,8.59842836500576,20,1629.3428982513756,1.68
jp,1987-01-05,17.5,14,1763.3241783501157,1.176
jp,1987-01-05,45.0,8,1986.9931702037968,0.6719999999999999
jp,1987-01-05,75.0,2,2099.2018722667185,0.16799999999999998
jp,1987-07-01,0.55,60,1450.6408639681213,5.04
jp,1987-07-01,2.829145724599095,32,1541.9892748346567,2.6879999999999997
jp,1987-07-01,8.59842836500576,21,1697.5176164159075,1.764
jp,1987-07-01,17.5,15,1837.062133744686,1.26
jp,1987-07-01,45.0,5,2093.5266544864116,0.42
jp,1987-07-01,75.0,1,2204.70344125359,0.08399999999999999
jp,1988-01-04,0.55,72,2281.7708652949714,6.048
jp,1988-01-04,2.829145724599095,32,2385.3873401015317,2.6879999999999997
jp,1988-01-04,8.59842836500576,24,2547.4387087670375,2.016
jp,1988-01-04,17.5,16,2701.9628658617835,1.3439999999999999
jp,1988-01-04,45.0,1,2816.4418736539687,0.08399999999999999
jp,1988-01-04,75.0,1,2846.4418736539687,0.08399999999999999
jp,1988-07-01,0.55,72,2309.67047727581,6.048
jp,1988-07-01,2.829145724599095,32,2423.372408098895,2.6879999999999997
jp,1988-07-01,8.59842836500576,20,2578.270795449455,1.68
jp,1988-07-01,17.5,16,2729.6042664009738,1.3439999999999999
jp,1988-07-01,45.0,2,2859.0959305444094,0.16799999999999998
jp,1988-07-01,75.0,2,2919.0959305444094,0.16799999999999998
jp,1989-01-04,0.55,77,2276.296103216896,6.468
jp,1989-01-04,2.829145724599095,43,2398.6012119210286,3.612
jp,1989-01-04,8.59842836500576,23,2564.080256068085,1.932
jp,1989-01-04,17.5,16,2724.186413024542,1.3439999999999999
jp,1989-01-04,45.0,2,2845.0070224402325,0.16799999999999998
jp,1989-01-04,75.0,2,2905.0070224402325,0.16799999999999998
jp,1989-07-03,0.55,76,2275.492981184013,6.3839999999999995
jp,1989-07-03,2.829145724599095,36,2395.266673190212,3.024
jp,1989-07-03,8.59842836500576,22,2553.5595034857442,1.8479999999999999
jp,1989-07-03,17.5,12,2716.8834302542277,1.008
jp,1989-07-03,45.0,4,2905.139984657622,0.33599999999999997
jp,1989-07-03,75.0,2,2962.2563599396262,0.16799999999999998
